Tinh,Code
Hà Nội,1
TP. Hồ Chí Minh,2
Hải Phòng,3
Đà Nẵng,4
Hà Giang,5
Cao Bằng,6
Lai Châu,7
Lào Cai,8
Tuyên Quang,9
Lạng Sơn,10
Bắc Kạn,11
Thái Nguyên,12
Yên Bái,13
Sơn La,14
Phú Thọ,15
Vĩnh Phúc,16
Quảng Ninh,17
Bắc Giang,18
Bắc Ninh,19
Hải Dương,21
Hưng Yên,22
Hoà Bình,23
Hà Nam,24
Nam Định,25
Thái Bình,26
Ninh Bình,27
Thanh Hoá,28
Nghệ An,29
Hà Tĩnh,30
Quảng Bình,31
Quảng Trị,32
Thừa Thiên -Huế,33
Quảng Nam,34
Quảng Ngãi,35
Kon Tum,36
Bình Định,37
Gia Lai,38
Phú Yên,39
Đắk Lắk,40
Khánh Hoà,41
Lâm Đồng,42
Bình Phước,43
Bình Dương,44
Ninh Thuận,45
Tây Ninh,46
Bình Thuận,47
Đồng Nai,48
Long An,49
Đồng Tháp,50
An Giang,51
Bà Rịa-Vũng Tàu,52
Tiền Giang,53
Kiên Giang,54
Cần Thơ,55
Bến Tre,56
Vĩnh Long,57
Trà Vinh,58
Sóc Trăng,59
Bạc Liêu,60
Cà Mau,61
Điện Biên,62
Đăk Nông,63
Hậu Giang,64
